Damage,IsBodyShopRepair
"REAR BUMPER 
",N
"WINDSHIELD CRACKED IN LINE OF VIEW
",N
FRONT BUMPER DENTED,N
REAR BUMPER DENTED IN MIDDLE,N
CRACKED WINDSHIELD,N
"NONE

POINT OF IMPACT: FRONT FENDER",N
PASSENGER SIDE FRONT BUMPER IS DENTED.,N
MULTIPLE SCRATCHES AND DENTS TO THE DRIVER SIDE DOOR AND EXTRA CAB.,Y
LARGE CRACK ACROSS WINDSHIELD,N
"LEFT FRONT BUMPER, DRIVER DOOR AND TIRE",Y
FRONT BUMPER OFF,Y
"NO DAMAGE
POINT OF IMPACT: FRONT BUMPER",N
FRONT PASS FENDER DENTED,Y
"FRONT BUMPER HAS A FEW SCRATCHES

***PER T. LAWS @ THE BRANCH***
NO DAMAGE",N
RIGHT REAR BUMPER AND QTR PANEL ,Y
STOLEN ,N
FRONT WINDSHIELD IS CRACKED,N
MINOR DAMAGE RIGHT FRONT FENDER & PASSENGER DOOR,Y
"NO DAMAGE
POINT OF IMPACT: FRONT BUMPER
",N
DRIVER SIDE DOOR,Y
REAR WINDOW BROKEN OUT,N
PASS SIDE WINDOW BROKEN OUT AND INTERIOR SAFETY GATE BENT,N
RIGHT SIDE (FRONT TO BACK),N
"NONE
IMPACT@REAR BUMPER",N
WINDSHIELD ,N
NONE,N
"FRONT BUMPER
",N
"NONE
POINT OF IMPACT - REAR BUMPER",N
FRONT QUARTER PANEL PASSENGER SIDE,Y
REAR BUMPER,Y
DRIVER SIDE REAR QP IS DENTED,N
"PASS REAR QTR PANEL & REAR BUMPER
",Y
"NO DAMAGE
POINT OF IMPACT: REAR BUMPER ON PASS SIDE",N
RIGHT FRONT AND DRIVER SIDE OF VAN ,N
"NONE
FRONT BUMPER POINT OF IMPACT ",N
"NONE

POINT OF IMPACT:REAR BUMPER",N
"FRONT RIGHT FENDER , HOOD , FRONT BUMPER , GRILLE ",Y
"DAMAGE TO DRIVER SIDE DOOR 
LITTLE DAMAGE TO FRONT DRIVER SIDE FENDER 
DRIVER SIDE MIRROR BROKEN ",N
NONE,N
"NONE
 POINT OF IMPACT : FRONT LICENSE PLATE HOLDER ",N
FRONT BUMPER IS DENTED,N
"FRONT BUMPER, HOOD, GRILLE, RADIATOR, WINDSHIELD & LEAKING FLUIDS.
",Y
PASSENGER REAR DOOR AND QP DENTED,Y
DAMAGE DRIVER SIDE FENDER AND DAMAGE TO TOOL DOOR,N
NONE ,N
WINDSHIELD        ,N
FRONT END DAMAGE,Y
"STOLEN, TORCHED & THROWN IN A CREEKBED TO FLOAT AWAY",N
CRACKED WINSHIELD-- SHADED TOP,N
NONE,N
"NONE

POINT OF IMPACT:FRONT BUMPER",N
"NONE

POINT OF IMPACT:REAR BUMPER ON PASSENGER SIDE",N
"NONE

POINT OF IMPACT:FRONT BUMPER",N
DRIVER SIDE REAR SERVICE DOOR DENTED,Y
FRONT END IS SMASHED IN MAINLY DRIVERSIDE,Y
NONE,N
"NONE
POINT OF IMPACT:
VEH 1-FRONT BUMPER
VEH 2-REAR BUMPER",N
DRIVER REAR QP IS DENTED AND SCRATCHED.,Y
ENTIRE FRONT END IS SMASHED IN.,Y
CRACK IN WINDSHIELD ALL THE WAY ACROSS.  SHADING ACROSS THE TOP.,N
NONE,N
curb side door window broken out.  ,N
"REAR BUMPER, NOT SURE OF DAMAGE",N
"REAR DRIVER QTR PANEL, BRAKES LOCKED UP.",N
passenger side has a scrape,N
WINSHIELD CRACKED--SHADED TOP--,N
FRONT END DAMAGE,N
PASSENGER REAR BUMPER & QTR PANEL (MINOR DAMAGE),Y
FRONT BUMPER,N
FRONT BUMPER IS SCRATCHED,N
passenger side head light is broken and front bumper is dented. grill is damaged,Y
passenger side doors behind the passenger front door. dented in.,N
"NONE
POINT OF IMPACT:
VEH 1-DRIVER FRONT BUMPER/CORNER
VEH 2-PASSENGER SIDE DOOR",N
driverside door is dented,N
REAR DOOR PANEL IS DENTED AND REAR BUMPER IS DENTED,Y
"REAR BUMPER, PASSENGER REAR QUARTER PANEL, FRONT BUMEPR & FRONT END.",N
REAR,Y
NONE,N
drv's side door,Y
pass door,Y
"no visible damage
point of impact: driver side rear bumper",N
front bumper is dented passenger side headlight and grill is broken ,Y
"PASSANGER SIDE MIRROR PUSHED IN
**per Edgar Goo, no damage",N
scrape on the rear bumper on the driver side,N
drv's rear qp,N
"drv's side, tire rim",N
"rear bumper damage
",Y
front end is smashed,N
"no visible damage.
point of impact was the rear end",N
dent on the bottom passenger fender,N
NONE,N
"NO DAMAGE
POINT OF IMPACT: FRONT BUMPER
",N
"DRIVER SIDE TURN SIGNAL AND HEADLIGHT IS CRACKED, DRIVER SIDE FRONT TIRE IS FLAT (THE TIRE HAS ALREADY BEEN FIXED)",N
"Windshield all the was across in driver's line of view.
** Tinted across the top **
",N
FRONT BUMPER IS DENTED,Y
driver side all the way down,Y
NONE,N
Passenger front panel,Y
"No visible damage.
Point of impact was the front end",N
"FRONT GRILL IS MISSING, OTHER DAMAGE IS UNKNOWN AT THIS TIME.",N
NONE,N
"Windshield was broken, hood scratched and broken antenna.",N
DRIVER SIDE DOOR AND DRIVER SIDE QUARTER PANEL.,N
rear cargo door window on the passenger side is broken out.,N
"Windshield cracked in driver's line of view.
** Tinted across the top of the windshield. **",N
"Windshield cracked in driver's line of view.
** Tinted across the top. **",N
"NO DAMAGE
POINT OF IMPACT: FRONT BUMPER
",N
REAR BUMPER,Y
VEH ROLLED-ENTIRE VEH IS DAMAGED,N
PASSENGER SIDE DAMAGE TO THE DOOR AND DOWN THE BED.  VEHICLE WAS SIDE SWIPED,Y
passenger side turn signal and parking light is broken,Y
"cracked windshield across entire windshield
--yes shaded top-- --no 3rd visor-- --no dollar bill--",N
"cracked windshield across entire glass
--yes shaded top-- --no 3rd visor-- --no dollar bill--",N
"cracked windshield across the glass
--yes shaded top-- --no 3rd visor-- --no dollar bill",N
"NONE

LOST LOAD",N
SLIDING DOOR WINDOW WAS BROKEN ON THE PASSENGER SIDE.  AND TOOLS WERE STOLEN,Y
"No visible damage
Point of impact, unknown.",N
NONE,N
LEFT REAR BARN DOOR AND QP,N
"front bumper was dented
",N
FRONT BUMPER & DRIVER'S FENDER,Y
FRONT END IS PUSHED IN-DRIVER FRONT BUMPER AND FENDER ARE PUSHED IN.,Y
"NO VISIBLE DAMAGE
POINT OF IMPACT WAS THE REAR BUMPER",N
DRIVER IS MIRROR GLASS IS BROKEN-POSSIBLE CASE DAMAGE,Y
ENTIRE FRONT END IS PUSHED IN-TOTAL LOSS,N
back door smashed in,N
"DRIVER SIDE DOOR WINDOW IS KNOCKED OUT, WINDSHIELD IS CRACKED ALL THE WAY ACROSS IT.",N
"FRONT BUMPER SCRATCHED
***UPDATE PER ROY RHODES***
NO DAMAGE",N
"none
poi front bumper middle",N
DRIVER SIDE HAS A LONG DENT ALONG WHOLE SIDE OF DRIVER SIDE,Y
LEFT FRONT FENDER AND BUMPER,N
passanger side front and back door,Y
REAR BUMPER DENTED,N
no damage (front bumper license plate),N
FRONT PASSENGER SIDE BUMPER IS PUSHED IN AND THE PLASTIC WINDGUARD RUBS THE TIRE WHEN HE MAKES LEFT TURNS.,N
FRONT BUMPER/NONE,N
"none, passenger mirror point of impact",N
"NONE

**point of impact** : rear bumper (per Edgar Goo @ servicemaster)",N
lower middle of windshield is cracked/ looks like a horse shoe,N
NO DAMAGE POINT OF IMPACT PASSENGER SIDE ,N
HANDLE AND SHAFT ON TAIL WAS DAMAGED,N
PASSENGER SIDE REAR /NONE,N
front passenger side  panel scuffed with paint,N
windshield cracked.  unsure if shaded or 3rd visor,N
FRONT END IS SMASHED IN ,N
"NONE
POINT OF IMPACT:
VEH 1-FRONT BUMPER
VEH 2-REAR (DETAILS UNKNOWN) & FRONT
VEH 3-REAR ",N
"NO VISIBLE DAMAGE
POINT OF IMPACT WAS THE REAR END.",N
front bumper and grill,Y
driver side front corner of veh,N
,N
BLOWN ENGINE/TOTAL LOSS                           ,N
DRIVERS SIDE DOOR                                 ,N
NO DAMAGE                                         ,N
"HOOD, ROOF, TOP OF TRUCK BED                      ",N
REAR BUMPER                                       ,N
FRONT END                                         ,N
REAR BUMPER                                       ,N
"LEFT REAR BUMPER DENT, ALSO HEARS RATTLING        ",N
FRONT END                                         ,N
FRONT END (MINOR)                                 ,N
REAR BUMPER,N
NONE,N
NONE,N
ENTIRE PASSENGER SIDE FROM THE FRONT TO THE REAR,N
REAR BUMPER,N
"DENT ON DRIVER DOOR ON THE REAR OF THE VEH
",N
REAR BUMPER,Y
"PASSENGER FRON PANEL & HOOD
",N
"REAR BUMPER, REAR HATCH NOT WORKING PROPERLY.",Y
"HOOD IS DENTED, WINDSHIELD IS CRACKED, ROOF OF VEH IS DENTED",Y
"passenger side mirror knocked off, both front and rear door, fender and qp damage",Y
"FLAP IN THE FRONT OF THE TIRE ON THE DRIVER SIDE DAMAGED.
",Y
PASSENGER SIDE DIME SIZE HOLE AND SPIDER WEB CRACKS ,N
"FRONT BUMPER & HOOD
",N
HAIL DAMAGE ,Y
passenger side front fender is dented,Y
"MINOR DAMAGE TO THE PASSENGER SIDE DOORS, FRONT BUMPER, PASSENGER FRONT & REAR DOOR'S.",Y
driver side rear passenger door is dented/rear bumper on passenger side scratched and part of the taillight lens is missing. ,Y
none (vehicle has been stolen),N
DRIVER SIDE DOOR ,Y
rear tail light on drivers side broken,Y
passenger side rear door-scratched and dented,Y
passenger side front bumper is damaged,N
passenger side front window was broken out.  gps unit taken from veh. ,N
"no shading/tinting, yes = 3rd visor, passenger side, top, 2 seprate cracks about 12 inches, not in the drivers line of vision, no navigation or heads up display, no antenna, no rain sensor. ",N
driver side front door has a small dent,N
DRIVER'S FRONT FENDER (MINOR DAMAGE).,Y
drivers side window broken out... has been fixed,N
DRIVER'S DOOR WINDOW IS BROKEN.,N
"WINDSHIELD IS CRACKED IN THE DRIVER'S LINE OF SITE.
",N
CHIP IN WINDSHIELD,N
UNKNOWN DAMAGE TO DRIVER'S SIDE FRONT QUARTER PANEL,N
PASSENGER SIDE MIRROR IS BROKEN OFF NOT THE HOUSING JUST THE GLASS,Y
"rear bumper chipped, scratched and slightly bent down",Y
DRIVER'S SIDE FRONT FENDER AND HEADLIGHT.,N
DRIVERS SIDE FRONT BUMPER AND HOOD ARE PUSHED UP AND SCRAPED AND LIGHT IS SCRAPED AND BLINKER IS NOT WORKING,Y
PASSENGER REAR TAIL LIGHT (NOT IN WORKING CONDITION) & REAR BUMPER.,Y
windshield is cracked from the driver side to the passenger side at the bottom.,N
REAR QUARTER PANEL WINDOW ON DRIVER SIDE IS BROKEN OUT.,N
"entire rear end pushed into vehicle, taillights broken, driver's seat broken",N
totaled.,N
middle rear bumper cracked. ,N
the entire front end of the car is pushed in up to the windshield,N
"Front end-Bumper, hood, radiator was pushed back, headlight on both driver side and passenger side, grille and possible side damages as well unknown which side.  Driver seat also broke will not go forward or backwards.    ",N
DENT AND YELLOW PAINT ON THE REAR PASSENGER SIDE DOOR.,Y
"REAR BUMPER IS DENTED, DRIVER SIDE TAIL LIGHT IS BROKEN, UNKNOWN IF IT STILL WORKS.",N
NONE,N
"whole front bumper is pushed into tires
all airbags deployed",N
small hail dents on hood and roof,Y
crack on the driver side of the windshield about 5 inches long,N
driver side qp is scraped and slightly dented,Y
passenger side rear qp scratched. ,Y
dent on passenger side hatch door,Y
"rear bumper pushed in slightly, both quarter panels bowing out, trunk lid bent inward",N
minor scratches on the rear bumper,N
"hail dents on the roof, hood, and trunk",N
hail dents on the hood and the roof of the car,Y
paint scratched on rear bumper ,Y
driver side from the front fender to the rear quarter panel is dented and scratched,N
front passenger side bumper corner and fender pushed in,N
"driver’s side front bumper and driver's side front fender-dented
",N
REAR BUMPER IS SCRATCHED AND HAS A 1/4 TO 1/2 INCH DEEP SCRAPE,Y
Extent of damage isn't known.  There were various points of impact.,N
driver side center of the windshield cracked (8-10 inches) not in the drivers line of vision,N
small chip on drivers side top  of windshield. yes in line of sight.  quarter size,N
rear bumper-scratched and bumper cover is cracked,N
"middle of the rear bumper is dented and middle of rear hatch is dented 
",Y
REAR BUMPER IS DENTED,N
"driver's rear tail light cracked, light still functions & driver's quarter panel dented and scratched

",Y
"front bumper pushed inwards, hood is pushed up, both driver and passenger side airbags deployed.",N
scratches on rear bumper,N
Passenger side rear bumper is scratched.,Y
"front headlight is broken, and does not work.  Front side fender on the passenger side mirror glass is gone and the modules to work the mirror are broken and needs to be replaced ",N
passenger side of rear bumper is misaligned,N
"front passenger's side bumper is pushed in  
",N
REAR PASSENGER'S SIDE WINDOW BUSTED OUT. COMPLETE OUT. THEFT.  VEHICLE SECURED AT HOME . NOT DRIVING TIL REPAIRS ARE COMPLETED,N
driver quarter panel is dented ,Y
"two cracks on the windshield in the direct line of view, spider cracks",N
"passengers side rear tire is flat due to hititng a curb, so driver took vehicle to tire shop for repair",N
NONE,N
Vehicle was towed and has damages but it is unknown what those damages are.,N
PASSENGER SIDE DAMAGES UNSPECIFIED,N
driver's side fender and pushed in and interior driver's door panel pulled back ,Y
passenger side fender scraped and dented ,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
FENDER                                            ,N
RIGHT REAR QUARTER PANEL                          ,N
FRONT BUMPER                                      ,N
FRONT BUMPER & HOOD                               ,N
REAR BUMPER                                       ,N
REAR END                                          ,N
REAR BUMPER                                       ,N
REAR BUMPER                                       ,N
                                                  ,N
                                                  ,N
DRV. SIDE DOOR.                                   ,N
FT DVR QTR PANEL                                  ,N
                                                  ,N
REAR PASS DOOR                                    ,N
                                                  ,N
REAR BMPR/LFT QTRPNL                              ,N
FT BUMPER/HOOD                                    ,N
"FRNT BUMP,GRILL,HOOD                              ",N
NONE                                              ,N
NO DAMAGE                                         ,N
PASS REAR QTR PANEL                               ,N
REAR BUMPER                                       ,N
FRONT END                                         ,N
FRONT & REAR BUMPER                               ,N
REAR BUMPER                                       ,N
DRIVER SIDE REAR DOOR                             ,N
REAR BUMPER                                       ,N
RT FRONT BUMPER/FENDER                            ,N
FRONT END                                         ,N
REAR BUMPER CRUSHED IN                            ,N
                                                  ,N
REAR BUMPER                                       ,N
                                                  ,N
                                                  ,N
RT FRONT BUMPER                                   ,N
"REAR BUMPER, DRIVER REAR QTR PANEL                ",N
                                                  ,N
REAR BUMPER                                       ,N
NO DAMAG                                          ,N
PASS FENDER                                       ,N
FRONT BUMPER                                      ,N
"DRIVER DOOR, DRV QP                               ",N
KEYS LOCKED IN CAR                                ,N
CAR WILL NOT START                                ,N
"RT FRT QP, HEADLIGHT, HOOD                        ",N
                                                  ,N
FRONT END                                         ,N
PASS FRT FENDER                                   ,N
CRACKED WINDSHIELD                                ,N
FRONT WINDOW CRACKED                              ,N
FRONT END                                         ,N
FRONT WINDSHIELD (CRACKED & WEBBING)              ,N
                                                  ,N
                                                  ,N
                                                  ,N
                                                  ,N
                                                  ,N
                                                  ,N
                                                  ,N
                                                  ,N
                                                  ,N
PASS SIDE RIGHT  REAR QUATER PANEL                ,N
NONE                                              ,N
DRIVER SIDE DOOR AND QUATER PANEL                 ,N
REAR BUMPER AND TRAILER HITCH                     ,N
NONE                                              ,N
RIGHT REAR BUMBER                                 ,N
ENTIRE FRONT END SMASHED IN                       ,N
                                                  ,N
PASSENGER DOOR,N
,N
,N
"PASSENGER DOOR CREASED, GRILLE.",N
REAR END,N
"REAR BUMPER, TRUNK AND TAIL LIIGHTS",N
"PASS DOOR, DENTED AND SCRATCHED",N
RIGHT SIDE DOOR AND RIGHT QTR PANEL,N
NONE,N
SCRATCH,N
FRONT DRIVE SIDE FENDER,N
,N
DRIVER SIDE BACK QP,N
RIGHT FRONT FENDER AND TIRE,N
,N
,N
,N
,N
LEFT FRONT BUMPER,N
FRONT BUMPER,N
REAR BUMPER,N
UNDERNEATH FRONT END (SUSPENSION),N
,N
,N
,N
,N
FRON PASSENGER SDIDE BUMPER,N
FRONT BUMPER,N
,N
,N
"BREAKS ARE GRINDING, PULLING VEH TO THE RIGHT",N
,N
"FRONT END-HOOD DENTED, BUMPER IS CRACKED-DRIVERS SIDE CASING HEADLIGHTS ARE BROKEN",N
NO DAMAGE,N
TOP OF TRUCK IS COMPLETELY PULLED OFF.,N
,N
,N
WINDSHIELD CRACKED,N
NONE,N
,N
PASSENGERS SIDE  REAR QP PUSHED INTO WHEEL,N
WINDSHIELD FRONT HOOD BUCKLED FRONT BUMPER,N
,N
"ENTIRE FRONT END DMGE HEADLIGHTS,GRILL ETC",N
,N
,N
,N
WINSHIELD WIPER MOTOR DOESNT WORK,N
,N
,N
,N
,N
cracked windshield/ driverside line of sight    blue strip across top,N
NONE,N
drivers rear quater panel,N
driver side quarter panel dented and scratched,N
rear passerger qp dented,N
,N
,N
none,N
REAR BUMPER,N
FRONT BUMPER,N
TEST CLAIM,N
PASSENGER SIDE DOOR,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
Front end damage,N
,N
,N
,N
,N
,N
the key will not go inside the ignition,N
,N
,N
,N
none,N
,N
,N
,N
NONE THAT I CAN SEE,N
FRONT CENTER OF BUMPER DENTED AND HAS MULTIPLE SCRATCHES,N
,N
BATTERY DEAD /NO POWER,N
,N
,N
,N
GLASS IN THE DRIVER SIDE MIRROR IS BROKEN.,N
REAR BUMBER-DENTED,N
FLAT TIRE- BACK LEFT,N
wont start ,N
FRONT END DAMAGE,N
,N
,N
,N
,N
,N
,N
PROBLEM WITH THE WATER PUMP,N
,N
,N
,N
,N
,N
