clean_review,y,clean_review1,phone,camera,battery,delivery,processor
beautiful phone must buy smile face smile eye smile face smile eye,1,"['beautiful', 'phone', 'must', 'buy', 'smile', 'face', 'smile', 'eye', 'smile', 'face', 'smile', 'eye']",0.9487591,0.9450954,0.95397294,0.9962487,0.9501408
delivery boy excellentperfect value time,1,"['delivery', 'boy', 'excellentperfect', 'value', 'time']",0.9811031,0.97965306,0.9850292,0.99175346,0.9830048
wonderful product,1,"['wonderful', 'product']",0.9720954,0.9812329,0.9837391,0.97063977,0.98511183
12days heavy use I share view regard redmi note 6 probest battery backupno heating issueapart continuous use whole day good camera clearity front back smooth touch premium lookquick face fingure unlockno hang issue allfast charge take around 1hr50minbest phone price demerit app support full screen include gallery hybrid slot dedic,1,"['12days', 'heavy', 'use', 'i', 'share', 'view', 'regard', 'redmi', 'note', '6', 'probest', 'battery', 'backupno', 'heating', 'issueapart', 'continuous', 'use', 'whole', 'day', 'good', 'camera', 'clearity', 'front', 'back', 'smooth', 'touch', 'premium', 'lookquick', 'face', 'fingure', 'unlockno', 'hang', 'issue', 'allfast', 'charge', 'take', 'around', '1hr50minbest', 'phone', 'price', 'demerit', 'app', 'support', 'full', 'screen', 'include', 'gallery', 'hybrid', 'slot', 'dedic']",0.97984856,0.97543097,0.9824438,0.9921907,0.9795325
budget phone,1,"['budget', 'phone']",0.9895861,0.9861927,0.9924064,0.9731344,0.9900331
good phonegarda,1,"['good', 'phonegarda']",0.9795289,0.9745036,0.9791128,0.941727,0.97657496
performance good worth money good budget mobile feature,1,"['performance', 'good', 'worth', 'money', 'good', 'budget', 'mobile', 'feature']",0.9861233,0.9865015,0.9919259,0.97884715,0.9897492
good product,1,"['good', 'product']",0.9748036,0.98875546,0.9876671,0.9669157,0.9905469
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
nice phone well camera,1,"['nice', 'phone', 'well', 'camera']",0.9915518,0.98701274,0.9905658,0.9823538,0.9892272
worth money,1,"['worth', 'money']",0.9968546,0.9897702,0.996144,0.9606648,0.9935234
good quality,1,"['good', 'quality']",0.92938626,0.9275162,0.938337,0.990907,0.9326647
excellent,1,['excellent'],0.9937334,0.9933854,0.9926693,0.95853174,0.99372184
awesome,1,['awesome'],0.97905076,0.98935294,0.9810318,0.9534162,0.9861162
well,1,['well'],0.9796716,0.98986363,0.98662674,0.9583988,0.9895477
nice redmi 8,1,"['nice', 'redmi', '8']",0.9552426,0.93705046,0.9483228,0.9915564,0.9426732
good camera performance smile face smile eye smile face smile eye,1,"['good', 'camera', 'performance', 'smile', 'face', 'smile', 'eye', 'smile', 'face', 'smile', 'eye']",0.97558737,0.97293097,0.9776864,0.9942645,0.9755058
compact size mobile comfortable use 1 hand I use second phone official use look classy hand,1,"['compact', 'size', 'mobile', 'comfortable', 'use', '1', 'hand', 'i', 'use', 'second', 'phone', 'official', 'use', 'look', 'classy', 'hand']",0.9751357,0.9698359,0.9756161,0.99423504,0.9734273
good price,1,"['good', 'price']",0.9701048,0.9688561,0.9732615,0.9882549,0.97136796
super good,1,"['super', 'good']",0.9737611,0.98189527,0.9857466,0.97169495,0.9859462
good phone,1,"['good', 'phone']",0.98762727,0.9763833,0.9819176,0.94721353,0.9793873
super,1,['super'],0.95785713,0.9679986,0.97289306,0.9704158,0.97415864
wow redmi smile face heart smile face heart smile face hearteyes1camera quality good tat portrait mode perfect pic 2 game adict good battery batteryperformance 3face lock get quick response fingerprint 4display also good front camera get lil bit large area display sometimes watch fullscreen video lil irritate okay I 5so overall phone worth every penny spend smile face hearteyes smile face hearteyes smile face hearteyes thumb clapping hand clapping hand clapping hand clapping hand early delivery happy tat delivery guy n,1,"['wow', 'redmi', 'smile', 'face', 'heart', 'smile', 'face', 'heart', 'smile', 'face', 'hearteyes1camera', 'quality', 'good', 'tat', 'portrait', 'mode', 'perfect', 'pic', '2', 'game', 'adict', 'good', 'battery', 'batteryperformance', '3face', 'lock', 'get', 'quick', 'response', 'fingerprint', '4display', 'also', 'good', 'front', 'camera', 'get', 'lil', 'bit', 'large', 'area', 'display', 'sometimes', 'watch', 'fullscreen', 'video', 'lil', 'irritate', 'okay', 'i', '5so', 'overall', 'phone', 'worth', 'every', 'penny', 'spend', 'smile', 'face', 'hearteyes', 'smile', 'face', 'hearteyes', 'smile', 'face', 'hearteyes', 'thumb', 'clapping', 'hand', 'clapping', 'hand', 'clapping', 'hand', 'clapping', 'hand', 'early', 'delivery', 'happy', 'tat', 'delivery', 'guy', 'n']",0.9822742,0.9757592,0.9829222,0.99243784,0.97931504
moblie good slightly smile face slightly smile face slightly smile face slightly smile face slightly smile face slightly smile face slightly smile face slightly smile face slightly smile face,1,"['moblie', 'good', 'slightly', 'smile', 'face', 'slightly', 'smile', 'face', 'slightly', 'smile', 'face', 'slightly', 'smile', 'face', 'slightly', 'smile', 'face', 'slightly', 'smile', 'face', 'slightly', 'smile', 'face', 'slightly', 'smile', 'face', 'slightly', 'smile', 'face']",0.95665586,0.95011365,0.9580625,0.9961289,0.95360094
see mobile year ago cost around 40000 50000 rs almost kill feature mobile available reasonable price segment good enough enjoy,1,"['see', 'mobile', 'year', 'ago', 'cost', 'around', '40000', '50000', 'rs', 'almost', 'kill', 'feature', 'mobile', 'available', 'reasonable', 'price', 'segment', 'good', 'enough', 'enjoy']",0.98638827,0.97912705,0.98645544,0.9860346,0.9826194
perfect phone price range camera beast excellent battery backupover good,1,"['perfect', 'phone', 'price', 'range', 'camera', 'beast', 'excellent', 'battery', 'backupover', 'good']",0.99188495,0.99321115,0.9956452,0.9709896,0.9951989
good budget phone superb performance well battery life compare phone range quite happy purchase,1,"['good', 'budget', 'phone', 'superb', 'performance', 'well', 'battery', 'life', 'compare', 'phone', 'range', 'quite', 'happy', 'purchase']",0.9885947,0.9881364,0.99327177,0.9813307,0.9918481
nice phone I love,1,"['nice', 'phone', 'i', 'love']",0.9717064,0.95497394,0.96613026,0.99664736,0.96014273
superb night mood day light nice quality,1,"['superb', 'night', 'mood', 'day', 'light', 'nice', 'quality']",0.9577004,0.94817054,0.9600023,0.99838334,0.95368457
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
super camera camera flashsuper battery batterysuper 5 g phone mobile phonesuper processor fire mobile phone battery camera flash sparkle musical note triangular flag,1,"['super', 'camera', 'camera', 'flashsuper', 'battery', 'batterysuper', '5', 'g', 'phone', 'mobile', 'phonesuper', 'processor', 'fire', 'mobile', 'phone', 'battery', 'camera', 'flash', 'sparkle', 'musical', 'note', 'triangular', 'flag']",0.9860053,0.98484945,0.9911515,0.9858359,0.9890102
I liket,1,"['i', 'liket']",0.86788917,0.84658235,0.86529297,0.96940184,0.854054
good product,1,"['good', 'product']",0.9748036,0.98875546,0.9876671,0.9669157,0.9905469
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
good phone value money,1,"['good', 'phone', 'value', 'money']",0.99260056,0.98564935,0.9923967,0.9721073,0.9895439
good phone,1,"['good', 'phone']",0.98762727,0.9763833,0.9819176,0.94721353,0.9793873
ph good,1,"['ph', 'good']",0.96658957,0.96512926,0.9664647,0.93027294,0.9669194
great phone gift son mr goutham secure distinction 93 2 exam thank flipkart timely delivery,1,"['great', 'phone', 'gift', 'son', 'mr', 'goutham', 'secure', 'distinction', '93', '2', 'exam', 'thank', 'flipkart', 'timely', 'delivery']",0.9752225,0.9633873,0.97297734,0.9945524,0.96776605
amazing phone value money nice camera performance look phone budget right choice nice performance,1,"['amazing', 'phone', 'value', 'money', 'nice', 'camera', 'performance', 'look', 'phone', 'budget', 'right', 'choice', 'nice', 'performance']",0.9878603,0.9823011,0.9883304,0.98712033,0.9855907
I love product,1,"['i', 'love', 'product']",0.9586108,0.9611678,0.9672055,0.99351776,0.9658737
thank flipkart mobile good camera good battery backup well,1,"['thank', 'flipkart', 'mobile', 'good', 'camera', 'good', 'battery', 'backup', 'well']",0.98511136,0.9845185,0.98982894,0.9855977,0.9873807
camera problem,1,"['camera', 'problem']",0.9888414,0.9976348,0.9968821,0.9594937,0.9991024
nice,1,['nice'],0.9605657,0.94551736,0.954633,0.9952641,0.94911516
redmi note 7 pro well design smart phone really value money good quality camera high battery capacity good display,1,"['redmi', 'note', '7', 'pro', 'well', 'design', 'smart', 'phone', 'really', 'value', 'money', 'good', 'quality', 'camera', 'high', 'battery', 'capacity', 'good', 'display']",0.980296,0.97359115,0.9820445,0.99323833,0.9777767
camera power low,1,"['camera', 'power', 'low']",0.98537004,0.9981755,0.99422836,0.95753455,0.9980505
awesome,1,['awesome'],0.97905076,0.98935294,0.9810318,0.9534162,0.9861162
good product,1,"['good', 'product']",0.9748036,0.98875546,0.9876671,0.9669157,0.9905469
good low budget phone,1,"['good', 'low', 'budget', 'phone']",0.9856565,0.9855775,0.9896113,0.9655917,0.988003
nice product,1,"['nice', 'product']",0.9714541,0.97231483,0.9764304,0.990932,0.975682
nic,1,['nic'],0.95054364,0.933571,0.9440119,0.99356383,0.9375813
nice,1,['nice'],0.9605657,0.94551736,0.954633,0.9952641,0.94911516
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
nice,1,['nice'],0.9605657,0.94551736,0.954633,0.9952641,0.94911516
nice one camera may well price back cover boxthat shoud give,1,"['nice', 'one', 'camera', 'may', 'well', 'price', 'back', 'cover', 'boxthat', 'shoud', 'give']",0.98432213,0.98359346,0.9874421,0.98876774,0.9860004
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
phone goodcamera quality a1as per mi expectatiin,1,"['phone', 'goodcamera', 'quality', 'a1as', 'per', 'mi', 'expectatiin']",0.9691844,0.95904315,0.96731806,0.9969448,0.96283895
good phone range,1,"['good', 'phone', 'range']",0.9859502,0.97624654,0.982969,0.9465177,0.97907317
phone good mebut camera low qualitycharge service good sound quality goodit awesome phone I,1,"['phone', 'good', 'mebut', 'camera', 'low', 'qualitycharge', 'service', 'good', 'sound', 'quality', 'goodit', 'awesome', 'phone', 'i']",0.97409874,0.97125137,0.9783323,0.9941989,0.97510684
good product,1,"['good', 'product']",0.9748036,0.98875546,0.9876671,0.9669157,0.9905469
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
good product,1,"['good', 'product']",0.9748036,0.98875546,0.9876671,0.9669157,0.9905469
nice phone,1,"['nice', 'phone']",0.98653114,0.9698105,0.97881085,0.9892322,0.97417337
nice phone,1,"['nice', 'phone']",0.98653114,0.9698105,0.97881085,0.9892322,0.97417337
nice mobile delivery also fast delivery boy cooperative,1,"['nice', 'mobile', 'delivery', 'also', 'fast', 'delivery', 'boy', 'cooperative']",0.96224195,0.9530237,0.9633416,0.99944454,0.9579768
awesome purchase one favbrandthank flipkart,1,"['awesome', 'purchase', 'one', 'favbrandthank', 'flipkart']",0.992046,0.9865202,0.9931989,0.9813599,0.99057746
good mi mobile phone,1,"['good', 'mi', 'mobile', 'phone']",0.9598367,0.9428611,0.9559876,0.9958322,0.94853884
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
nice performance,1,"['nice', 'performance']",0.9904916,0.9848545,0.98966664,0.9838633,0.9877485
good product must buy,1,"['good', 'product', 'must', 'buy']",0.9519126,0.96737766,0.97000927,0.96906894,0.9713679
great,1,['great'],0.96482146,0.96945477,0.9726603,0.9325679,0.9701125
well,1,['well'],0.9796716,0.98986363,0.98662674,0.9583988,0.9895477
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
wt amazing phone mobile phone wow super really buy product come headphone box,1,"['wt', 'amazing', 'phone', 'mobile', 'phone', 'wow', 'super', 'really', 'buy', 'product', 'come', 'headphone', 'box']",0.9875691,0.9849079,0.99073505,0.98535085,0.9888454
everything good,1,"['everything', 'good']",0.97777176,0.96780705,0.97703093,0.977399,0.97140443
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
good good,1,"['good', 'good']",0.89578795,0.8990735,0.89919466,0.86067504,0.89768684
nyc productlove,1,"['nyc', 'productlove']",0.9847722,0.99256253,0.9918074,0.9672909,0.9943625
good cost,1,"['good', 'cost']",0.94644487,0.96143043,0.95220166,0.90541756,0.95731103
awesome,1,['awesome'],0.97905076,0.98935294,0.9810318,0.9534162,0.9861162
nice phone price,1,"['nice', 'phone', 'price']",0.9791647,0.9678601,0.9757073,0.9949549,0.97202605
great product price segment I give 4 star late delivery flipkartpros1 smooth vivid display2 great camera 3 support fast charging4 great buildcon 1 slightly heat chargingfast charge verdictworth penny I buy 144k,1,"['great', 'product', 'price', 'segment', 'i', 'give', '4', 'star', 'late', 'delivery', 'flipkartpros1', 'smooth', 'vivid', 'display2', 'great', 'camera', '3', 'support', 'fast', 'charging4', 'great', 'buildcon', '1', 'slightly', 'heat', 'chargingfast', 'charge', 'verdictworth', 'penny', 'i', 'buy', '144k']",0.9814531,0.973944,0.98056763,0.9887214,0.9769949
good performance,1,"['good', 'performance']",0.9900856,0.9916204,0.9928812,0.9544416,0.9931802
awesome mobile thumb must buy smile face hearteyes,1,"['awesome', 'mobile', 'thumb', 'must', 'buy', 'smile', 'face', 'hearteyes']",0.96329045,0.9653283,0.9717518,0.99270207,0.9697254
battry backup awesome camera average day light low light poor performance overall performance good use secondary device call net surfing purpose bad gaming,1,"['battry', 'backup', 'awesome', 'camera', 'average', 'day', 'light', 'low', 'light', 'poor', 'performance', 'overall', 'performance', 'good', 'use', 'secondary', 'device', 'call', 'net', 'surfing', 'purpose', 'bad', 'gaming']",0.98660946,0.9862447,0.9912464,0.98322237,0.98918104
value moneyb price,1,"['value', 'moneyb', 'price']",0.97775745,0.9749278,0.9817846,0.99199945,0.97914076
awesome product give review almost 89month go,1,"['awesome', 'product', 'give', 'review', 'almost', '89month', 'go']",0.9820646,0.9766519,0.98181796,0.9856268,0.9799259
amazing product good budget friendly smartphone,1,"['amazing', 'product', 'good', 'budget', 'friendly', 'smartphone']",0.98217857,0.97698426,0.98552954,0.9881095,0.98126864
beautiful,1,['beautiful'],0.9033493,0.9064809,0.9167807,0.9739615,0.91313297
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
outstanding performance smile face hearteyeswith stock android,1,"['outstanding', 'performance', 'smile', 'face', 'hearteyeswith', 'stock', 'android']",0.9798907,0.97214323,0.98039097,0.9944015,0.9762659
wonderful,1,['wonderful'],0.9781072,0.9810999,0.9863478,0.9730164,0.9855926
first redmi handset hear lot issue redmi brand I start use gem I fall love brand give almost everything I lack ir blaster drawback masterpiece people may complain battery capacity pubg gamer I must say battery capacity enough decent user support fast charge u wait much power ur device short break mobile enough charge mobile,1,"['first', 'redmi', 'handset', 'hear', 'lot', 'issue', 'redmi', 'brand', 'i', 'start', 'use', 'gem', 'i', 'fall', 'love', 'brand', 'give', 'almost', 'everything', 'i', 'lack', 'ir', 'blaster', 'drawback', 'masterpiece', 'people', 'may', 'complain', 'battery', 'capacity', 'pubg', 'gamer', 'i', 'must', 'say', 'battery', 'capacity', 'enough', 'decent', 'user', 'support', 'fast', 'charge', 'u', 'wait', 'much', 'power', 'ur', 'device', 'short', 'break', 'mobile', 'enough', 'charge', 'mobile']",0.97598183,0.9732341,0.98099065,0.9945797,0.9774341
awesome phone camera osm I really love,1,"['awesome', 'phone', 'camera', 'osm', 'i', 'really', 'love']",0.98937845,0.9867279,0.9913541,0.98428917,0.98976
good producti love,1,"['good', 'producti', 'love']",0.9696708,0.9725256,0.977435,0.9923402,0.97616625
nice phone,1,"['nice', 'phone']",0.98653114,0.9698105,0.97881085,0.9892322,0.97417337
good product,1,"['good', 'product']",0.9748036,0.98875546,0.9876671,0.9669157,0.9905469
good phone redmi,1,"['good', 'phone', 'redmi']",0.9811525,0.96822345,0.9787276,0.98857933,0.9733255
nice phone,1,"['nice', 'phone']",0.98653114,0.9698105,0.97881085,0.9892322,0.97417337
nice,1,['nice'],0.9605657,0.94551736,0.954633,0.9952641,0.94911516
quite decent quality,1,"['quite', 'decent', 'quality']",0.9352142,0.930348,0.9407467,0.99146974,0.9357338
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
beautiful,1,['beautiful'],0.9033493,0.9064809,0.9167807,0.9739615,0.91313297
good product battery good battery saver camera good,1,"['good', 'product', 'battery', 'good', 'battery', 'saver', 'camera', 'good']",0.9827971,0.99085474,0.9927684,0.95918477,0.9924191
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
awasome product,1,"['awasome', 'product']",0.9706019,0.9878957,0.984146,0.9676429,0.98892355
look good good performance,1,"['look', 'good', 'good', 'performance']",0.9843071,0.9857997,0.9873431,0.94991165,0.98722446
nice product smile face smile eye,1,"['nice', 'product', 'smile', 'face', 'smile', 'eye']",0.962038,0.95858,0.9647491,0.997893,0.96214473
awesome phone price camera well mi phone android otherwise phone awesome thank flipkart,1,"['awesome', 'phone', 'price', 'camera', 'well', 'mi', 'phone', 'android', 'otherwise', 'phone', 'awesome', 'thank', 'flipkart']",0.9848513,0.97530013,0.9834503,0.99245536,0.97964036
I use phone 3 month n ill say worth money good quality sounddisplay battery bug irritate charge time around 253 hrs,1,"['i', 'use', 'phone', '3', 'month', 'n', 'ill', 'say', 'worth', 'money', 'good', 'quality', 'sounddisplay', 'battery', 'bug', 'irritate', 'charge', 'time', 'around', '253', 'hrs']",0.97530115,0.96429396,0.9745731,0.9936826,0.9691578
good phone,1,"['good', 'phone']",0.98762727,0.9763833,0.9819176,0.94721353,0.9793873
nice,1,['nice'],0.9605657,0.94551736,0.954633,0.9952641,0.94911516
super,1,['super'],0.95785713,0.9679986,0.97289306,0.9704158,0.97415864
nice,1,['nice'],0.9605657,0.94551736,0.954633,0.9952641,0.94911516
average mobile,1,"['average', 'mobile']",0.97457826,0.96926594,0.97748995,0.9896029,0.97262007
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
battery backup fingerprint reader satisfactory else great,1,"['battery', 'backup', 'fingerprint', 'reader', 'satisfactory', 'else', 'great']",0.9828801,0.979455,0.987541,0.98976356,0.9835278
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
phone slim light give great display camera produce good color artificial light many video mod camera good natural lightning,1,"['phone', 'slim', 'light', 'give', 'great', 'display', 'camera', 'produce', 'good', 'color', 'artificial', 'light', 'many', 'video', 'mod', 'camera', 'good', 'natural', 'lightning']",0.96923,0.96163994,0.9710643,0.995893,0.96581334
good work,1,"['good', 'work']",0.9700663,0.9765841,0.97728205,0.93878937,0.9772471
nice product,1,"['nice', 'product']",0.9714541,0.97231483,0.9764304,0.990932,0.975682
awesome fabulous nice product thank flipkart I want redmi note 8 pro,1,"['awesome', 'fabulous', 'nice', 'product', 'thank', 'flipkart', 'i', 'want', 'redmi', 'note', '8', 'pro']",0.974421,0.96700734,0.97617567,0.99399304,0.97218186
great phone price satisfy product,1,"['great', 'phone', 'price', 'satisfy', 'product']",0.9791102,0.97688293,0.98324454,0.9928837,0.98090374
phone good thumb thumb,1,"['phone', 'good', 'thumb', 'thumb']",0.9846176,0.98418206,0.99082226,0.977585,0.9891821
phone powerhouse rs 10000 price bracket quit impressive battery easily last 15 day usage average user 1 dag heavy user camera average good xiaomi redmi note 6 pro redmi note 7 pro I recommend go priority camera display good price bracket full hd plusaslo get usb type c port also good budget phone modern port pretty fast du,1,"['phone', 'powerhouse', 'rs', '10000', 'price', 'bracket', 'quit', 'impressive', 'battery', 'easily', 'last', '15', 'day', 'usage', 'average', 'user', '1', 'dag', 'heavy', 'user', 'camera', 'average', 'good', 'xiaomi', 'redmi', 'note', '6', 'pro', 'redmi', 'note', '7', 'pro', 'i', 'recommend', 'go', 'priority', 'camera', 'display', 'good', 'price', 'bracket', 'full', 'hd', 'plusaslo', 'get', 'usb', 'type', 'c', 'port', 'also', 'good', 'budget', 'phone', 'modern', 'port', 'pretty', 'fast', 'du']",0.98191535,0.9776324,0.9846058,0.9905755,0.98156726
overall good,1,"['overall', 'good']",0.9822623,0.9861865,0.989069,0.95509416,0.9882499
well one phone,1,"['well', 'one', 'phone']",0.9984987,0.9865462,0.9928278,0.9624974,0.99013495
