,Application. ID,Age,Gender,Location,Siblings,RAM-1 Score,RAM-2 Score,HS Score,School Rank,SOP,Admission Status,Parents Edu._M,Parents Edu._M+F
96,Ref#23660,17,1,2,0,22,17,10,2,1.0,0,0,1
97,Ref#24609,16,1,2,0,20,16,13,1,2.0,0,1,0
98,Ref#29676,17,0,2,1,22,17,10,3,2.5,0,0,0
99,Ref#38002,17,1,1,1,16,12,21,1,1.5,0,0,1
100,Ref#43500,17,1,3,0,10,8,31,2,3.5,0,0,0
101,Ref#43757,23,0,2,1,13,10,26,1,2.5,0,0,0
102,Ref#44403,17,1,1,0,19,15,15,3,2.5,0,1,0
103,Ref#11475,19,1,3,0,17,13,20,1,4.0,0,0,1
104,Ref#17950,19,1,3,1,16,12,22,3,1.0,0,1,0
105,Ref#20002,19,0,3,0,15,12,23,2,4.5,0,0,1
106,Ref#29209,21,0,1,1,18,14,18,3,3.5,0,1,0
107,Ref#43455,16,1,1,1,21,16,13,3,1.5,0,0,0
108,Ref#39789,16,0,3,0,19,15,17,1,3.0,0,0,1
109,Ref#74348,21,1,1,0,21,16,14,2,3.0,0,1,0
110,Ref#16701,22,1,1,0,13,10,28,1,2.0,0,1,0
111,Ref#21289,17,1,1,0,13,10,28,3,4.0,0,1,0
112,Ref#26984,16,1,2,1,21,16,14,1,1.5,0,0,0
113,Ref#37954,21,0,1,0,18,14,19,1,1.5,0,1,0
114,Ref#41780,15,0,3,0,13,10,28,1,2.0,0,0,1
115,Ref#43671,17,0,3,0,18,14,19,3,4.5,0,0,1
116,Ref#45824,21,1,1,0,21,16,14,2,3.5,0,1,0
117,Ref#48538,19,0,2,1,23,18,10,2,3.0,0,0,1
118,Ref#81047,18,1,3,1,20,16,16,1,3.5,0,1,0
119,Ref#13881,21,1,1,0,10,8,34,2,3.0,0,0,1
120,Ref#17500,20,1,1,0,15,12,25,1,5.0,0,1,0
121,Ref#35161,20,1,1,0,13,10,29,1,2.5,0,0,0
122,Ref#46887,16,0,3,1,11,8,33,3,4.5,0,0,0
123,Ref#19027,22,0,3,1,12,9,32,3,2.0,0,0,1
124,Ref#18612,15,0,3,0,16,12,25,2,3.0,0,0,1
125,Ref#27187,16,0,3,1,22,17,14,1,4.0,0,0,1
126,Ref#30710,23,0,2,0,22,17,14,3,3.5,0,1,0
127,Ref#31355,23,0,1,0,15,12,26,2,2.0,0,0,0
128,Ref#41390,20,1,3,0,14,11,28,3,2.5,0,1,0
129,Ref#41725,22,1,3,1,23,18,12,3,2.5,0,0,1
130,Ref#45950,15,1,1,0,10,8,35,3,4.5,0,0,1
131,Ref#44852,23,0,2,0,22,17,15,1,2.0,0,0,0
132,Ref#81424,23,0,1,0,12,9,33,3,1.0,0,0,1
133,Ref#37791,23,0,1,0,22,17,15,1,4.0,0,0,1
134,Ref#18326,21,0,3,0,24,19,12,1,4.5,0,0,0
135,Ref#22844,17,1,3,0,18,14,23,3,2.5,0,0,1
136,Ref#30518,15,1,2,0,11,8,36,3,4.5,0,0,1
137,Ref#34278,19,1,3,1,24,19,12,1,3.5,0,0,0
138,Ref#39117,17,1,3,0,20,16,19,3,3.5,0,0,1
139,Ref#43131,18,0,3,1,19,15,21,3,2.0,0,1,0
140,Ref#44747,18,0,3,1,14,11,30,2,3.0,0,0,1
141,Ref#24519,19,0,2,0,11,8,37,2,2.5,0,0,0
142,Ref#49385,19,0,2,1,14,11,31,2,1.0,0,0,0
143,Ref#93949,17,1,1,1,11,8,37,2,4.0,0,0,0
144,Ref#21071,16,0,1,0,22,17,17,1,2.5,0,0,1
145,Ref#22217,18,0,1,0,22,17,17,3,4.0,0,0,1
146,Ref#23651,22,1,2,0,23,18,15,3,2.5,0,1,0
147,Ref#24928,16,1,3,0,21,16,19,2,4.0,0,0,0
148,Ref#37934,15,1,1,1,19,15,22,1,2.0,0,0,1
149,Ref#41322,21,1,1,0,18,14,24,2,2.0,0,0,0
150,Ref#42520,21,0,2,1,13,10,33,1,4.0,0,0,0
151,Ref#46304,22,0,3,1,21,16,19,1,1.0,0,0,0
152,Ref#36272,18,0,2,1,17,13,27,1,1.0,0,0,1
153,Ref#95691,23,0,3,0,18,14,25,3,2.0,0,1,0
154,Ref#16620,23,0,3,0,19,15,23,3,3.5,0,0,1
155,Ref#20948,21,1,3,1,26,20,11,1,2.0,0,0,1
156,Ref#28803,21,0,3,1,15,12,30,2,2.0,0,0,0
157,Ref#33609,18,0,2,1,16,12,29,2,2.5,0,0,1
158,Ref#35686,20,1,3,1,10,8,39,2,3.0,0,0,0
159,Ref#36755,19,0,3,0,21,16,20,3,1.0,0,0,1
160,Ref#43310,22,1,2,0,16,12,29,2,4.5,0,0,1
161,Ref#49754,20,0,3,1,14,11,32,3,2.5,0,0,0
162,Ref#56047,20,0,1,0,22,17,19,2,1.5,0,0,1
163,Ref#10572,23,1,2,0,14,11,33,1,2.5,0,0,1
164,Ref#12775,20,1,3,0,23,18,17,2,3.0,0,0,1
165,Ref#18676,15,1,1,0,24,19,15,1,3.5,0,0,1
166,Ref#23443,19,1,2,1,22,17,19,3,4.0,0,1,0
167,Ref#24483,21,1,3,1,15,12,31,2,1.5,0,0,1
168,Ref#40762,18,1,1,0,10,8,40,2,4.0,0,1,0
169,Ref#37245,18,0,3,0,23,18,18,3,3.0,0,0,1
170,Ref#89594,17,0,2,0,25,20,14,2,4.5,0,1,0
171,Ref#99352,16,0,2,1,19,15,25,2,4.0,0,0,0
172,Ref#13381,18,1,1,1,20,16,23,1,3.0,0,0,0
173,Ref#25831,23,1,1,0,11,8,40,2,4.5,0,0,1
174,Ref#31960,18,1,1,1,20,16,23,2,4.0,0,0,0
175,Ref#32577,21,1,1,1,11,8,40,2,2.5,0,1,0
176,Ref#36444,18,0,1,0,15,12,32,2,1.5,0,1,0
177,Ref#38746,17,1,2,1,19,15,25,3,2.5,0,1,0
178,Ref#80516,22,1,3,1,12,9,39,2,1.5,0,0,0
179,Ref#10660,23,1,2,0,27,21,12,3,2.0,0,1,0
180,Ref#18211,16,1,1,0,28,22,10,3,4.5,0,1,0
181,Ref#25103,17,1,1,1,10,8,42,1,1.0,0,0,0
182,Ref#25237,18,1,3,0,14,11,35,2,2.5,0,1,0
183,Ref#25771,16,1,1,0,20,16,24,3,1.5,0,1,0
184,Ref#43197,19,1,2,1,24,19,17,3,3.0,0,0,1
185,Ref#43945,15,1,1,1,17,13,30,3,2.0,0,0,1
186,Ref#44935,19,1,3,0,17,13,30,2,3.5,0,0,0
187,Ref#46433,18,1,1,0,14,11,35,1,2.0,0,1,0
188,Ref#40523,16,1,3,1,18,14,29,2,1.5,0,0,0
189,Ref#60729,15,0,1,0,13,10,38,3,2.5,0,1,0
190,Ref#85075,20,0,2,0,19,15,27,3,1.5,0,0,0
191,Ref#13862,20,1,1,1,24,19,18,3,3.0,0,0,0
192,Ref#22853,16,1,3,0,13,10,38,3,3.0,0,1,0
193,Ref#29126,20,0,2,1,13,10,38,2,2.5,0,1,0
194,Ref#31326,22,1,3,0,26,20,15,1,2.5,0,0,1
195,Ref#32351,19,0,1,0,15,12,34,2,4.0,0,1,0
196,Ref#43767,21,1,2,0,22,17,22,3,2.5,0,0,1
197,Ref#19148,16,1,3,1,28,22,12,1,2.0,0,1,0
198,Ref#25667,23,1,1,0,23,18,21,3,3.5,0,0,1
199,Ref#23230,22,0,1,0,14,11,37,1,4.5,0,1,0
200,Ref#31731,16,1,1,1,11,8,43,2,4.0,0,1,0
201,Ref#33526,22,1,1,1,19,15,28,1,2.0,0,1,0
202,Ref#39343,17,1,1,1,14,11,37,3,4.5,0,1,0
203,Ref#49178,21,1,3,1,10,8,44,3,5.0,0,0,1
204,Ref#19346,21,0,2,0,28,22,13,1,2.0,0,0,0
205,Ref#37472,16,0,2,0,19,15,29,2,1.5,0,0,0
206,Ref#40851,18,1,3,0,24,19,20,2,3.0,0,1,0
207,Ref#82660,15,0,3,1,29,23,11,2,2.5,0,1,0
208,Ref#86015,23,0,2,1,26,20,17,2,4.0,0,1,0
209,Ref#17194,22,0,3,1,23,18,22,2,2.5,0,0,0
210,Ref#21231,16,0,2,1,26,20,17,3,4.5,0,0,0
211,Ref#25331,22,0,1,1,15,12,36,1,2.0,0,0,0
212,Ref#29165,20,1,2,1,13,10,40,1,4.5,0,0,0
213,Ref#34312,15,1,2,1,14,11,38,3,1.0,0,1,0
214,Ref#36212,23,0,1,1,27,21,15,3,4.0,0,0,0
215,Ref#39864,15,0,2,1,21,16,26,2,4.0,0,0,0
216,Ref#43565,15,0,1,1,10,8,45,1,3.5,0,0,0
217,Ref#45633,23,0,3,1,23,18,22,1,1.5,0,0,1
218,Ref#48824,17,0,1,1,25,20,18,2,3.5,0,1,0
219,Ref#33993,15,1,3,0,21,16,27,1,4.5,0,1,0
220,Ref#46245,20,0,3,1,26,20,18,3,2.0,0,0,1
221,Ref#11305,17,1,2,0,10,8,46,2,3.5,0,0,0
222,Ref#12181,19,0,2,0,24,19,21,2,1.5,0,0,0
223,Ref#19684,20,0,3,1,14,11,39,1,1.0,0,0,0
224,Ref#22158,21,0,1,1,28,22,14,3,2.0,0,1,0
225,Ref#37566,22,1,2,0,16,12,36,1,1.5,0,1,0
226,Ref#43590,17,1,1,0,21,16,27,2,2.0,0,1,0
227,Ref#48292,23,1,2,0,12,9,43,1,1.0,0,0,0
228,Ref#48422,21,1,3,0,29,23,12,1,1.0,0,1,0
229,Ref#44529,23,0,2,1,21,16,28,1,4.0,0,1,0
230,Ref#12516,15,1,3,1,20,16,29,3,3.5,0,0,1
231,Ref#14918,19,1,1,0,28,22,15,1,3.0,0,0,0
232,Ref#15943,18,1,2,0,31,24,10,2,3.0,0,0,0
233,Ref#18734,22,1,3,0,22,17,26,3,1.5,0,1,0
234,Ref#37345,17,1,2,1,27,21,17,2,3.0,0,0,0
235,Ref#43407,21,1,3,0,12,9,44,1,3.5,0,1,0
236,Ref#46006,16,0,1,1,30,24,11,1,2.0,0,0,0
237,Ref#24711,22,1,3,1,12,9,45,2,3.5,0,0,1
238,Ref#11925,22,0,3,1,14,11,41,1,1.5,0,0,0
239,Ref#16112,16,0,2,1,24,19,23,3,4.0,0,1,0
240,Ref#21848,16,0,1,0,20,16,30,2,4.5,0,0,1
241,Ref#23086,18,1,3,1,25,20,21,2,2.5,0,1,0
242,Ref#26690,20,1,3,1,15,12,39,3,4.0,0,0,0
243,Ref#30076,15,0,2,0,27,21,18,1,3.0,0,1,0
244,Ref#33501,19,0,2,1,12,9,45,3,2.0,0,0,0
245,Ref#36354,21,0,2,1,19,15,32,2,4.5,0,0,1
246,Ref#38243,18,0,1,1,19,15,32,1,3.0,0,0,1
247,Ref#42236,16,0,2,0,24,19,23,2,4.5,0,0,1
248,Ref#45842,16,1,2,0,30,24,12,1,1.5,0,1,0
249,Ref#46538,20,0,1,0,28,22,16,1,4.0,0,1,0
250,Ref#48011,21,0,2,0,29,23,14,3,4.5,0,0,1
251,Ref#49345,17,1,3,0,13,10,43,3,3.0,0,0,1
252,Ref#62993,15,0,2,0,29,23,15,2,3.5,0,1,0
253,Ref#78278,19,0,1,0,22,17,28,1,3.5,0,0,0
254,Ref#11367,22,1,2,1,23,18,26,3,1.0,0,1,0
255,Ref#14700,20,0,2,0,15,12,40,2,3.5,0,0,1
256,Ref#17918,21,0,2,1,14,11,42,3,2.5,0,0,0
257,Ref#19676,22,0,1,0,28,22,17,1,3.5,0,0,1
258,Ref#20335,20,1,1,0,13,10,44,1,4.0,0,0,0
259,Ref#20980,18,1,1,0,31,24,12,2,1.0,0,0,1
260,Ref#23026,23,1,3,0,18,14,35,1,2.0,0,0,1
261,Ref#23533,17,0,1,0,26,20,21,2,1.5,0,0,1
262,Ref#27195,16,1,3,1,22,17,28,2,1.5,0,0,1
263,Ref#29475,22,1,2,0,11,8,48,1,3.5,0,1,0
264,Ref#43487,23,0,2,0,15,12,40,2,1.0,0,0,0
265,Ref#24815,17,0,3,0,19,15,34,1,2.5,0,0,0
266,Ref#43255,15,1,3,0,26,20,22,3,4.0,0,0,0
267,Ref#52757,20,1,1,1,27,21,20,1,3.0,0,0,1
268,Ref#61833,16,1,1,1,30,24,14,3,4.5,0,0,0
269,Ref#72088,15,1,3,0,26,20,22,3,4.5,0,1,0
270,Ref#83726,15,0,3,1,31,24,13,2,4.5,0,0,0
271,Ref#11585,16,1,1,0,22,17,29,2,4.0,0,1,0
272,Ref#15661,21,1,3,0,18,14,36,2,3.5,0,0,0
273,Ref#17144,16,0,3,1,11,8,49,2,4.5,0,0,1
274,Ref#25758,16,0,3,1,31,24,13,1,2.0,0,0,0
275,Ref#28691,20,0,2,0,23,18,27,1,4.5,0,1,0
276,Ref#29618,20,1,3,0,22,17,29,3,2.5,0,0,1
277,Ref#46659,22,0,2,0,17,13,38,1,1.5,0,0,0
278,Ref#48590,20,1,2,0,10,8,50,1,4.0,0,0,1
279,Ref#64057,21,1,2,0,18,14,37,2,2.0,0,0,0
280,Ref#67267,17,1,2,0,10,8,51,2,3.0,0,1,0
281,Ref#69766,18,0,2,1,11,8,50,3,3.5,0,0,0
282,Ref#70383,20,0,3,1,24,19,26,3,2.5,0,0,1
283,Ref#74768,17,0,3,0,18,14,37,2,4.5,0,0,1
284,Ref#75225,18,0,3,1,15,12,42,1,5.0,0,1,0
285,Ref#12231,15,1,3,1,27,21,21,2,2.0,0,0,0
286,Ref#15617,17,0,1,0,11,8,50,1,2.0,0,0,0
287,Ref#16532,23,1,3,1,22,17,30,1,1.0,0,0,0
288,Ref#17040,20,0,3,0,16,12,41,3,3.5,0,0,1
289,Ref#19385,21,0,1,1,23,18,28,1,3.0,0,0,0
290,Ref#21213,15,0,2,1,30,24,15,3,1.0,0,0,1
291,Ref#31877,20,1,3,0,30,24,15,1,4.5,0,1,0
292,Ref#37063,18,1,3,0,24,19,26,3,3.0,0,0,0
293,Ref#43894,18,0,1,0,30,24,15,1,1.5,0,0,0
294,Ref#45833,17,1,2,0,15,12,42,2,5.0,0,0,1
295,Ref#49218,19,0,1,0,33,26,10,2,3.5,0,1,0
296,Ref#42124,21,0,3,0,25,20,25,1,2.0,0,0,0
297,Ref#65646,23,0,3,0,15,12,43,2,3.5,0,0,0
298,Ref#71593,20,1,2,1,30,24,16,3,3.5,0,1,0
299,Ref#13965,20,1,3,1,25,20,25,2,3.5,0,1,0
300,Ref#14485,15,0,3,0,13,10,47,3,2.0,0,0,1
301,Ref#14989,23,0,2,0,15,12,43,3,1.5,0,0,1
302,Ref#20238,20,1,2,0,28,22,20,1,4.5,0,0,1
303,Ref#22263,16,0,3,1,26,20,24,2,1.0,0,0,0
304,Ref#24651,19,0,2,0,12,9,49,1,4.0,0,0,1
305,Ref#29539,15,1,2,0,15,12,43,3,4.0,0,1,0
306,Ref#32604,21,1,2,0,29,23,18,1,4.0,0,0,1
307,Ref#32700,15,1,3,1,29,23,18,1,3.5,0,0,1
308,Ref#34742,19,1,1,1,29,23,18,2,3.0,0,0,0
309,Ref#35145,21,0,2,0,17,13,40,3,2.0,0,0,0
310,Ref#35286,21,1,1,0,19,15,36,3,3.0,0,1,0
311,Ref#36135,20,1,2,0,30,24,16,1,4.5,0,0,0
312,Ref#47010,15,1,2,0,19,15,36,2,4.5,0,0,0
313,Ref#50639,15,1,3,0,31,24,16,1,2.5,0,0,0
314,Ref#21343,20,1,1,0,26,20,25,2,5.0,0,0,0
315,Ref#61532,22,0,1,0,33,26,12,3,1.0,0,1,0
316,Ref#94742,22,1,3,0,29,23,19,1,5.0,0,0,1
317,Ref#12788,22,1,2,0,22,17,32,2,2.5,0,0,1
318,Ref#13778,21,1,1,0,34,27,10,2,4.0,0,0,0
319,Ref#36019,23,0,2,1,10,8,53,1,3.5,0,0,0
320,Ref#37980,18,0,2,1,27,21,23,3,1.5,0,1,0
321,Ref#39730,21,1,1,1,17,13,41,2,1.0,0,0,0
322,Ref#44459,15,0,2,1,14,11,46,1,2.5,0,0,0
323,Ref#44892,16,0,3,0,18,14,39,3,4.5,0,1,0
324,Ref#48085,20,1,1,0,28,22,21,1,3.5,0,0,1
325,Ref#48989,16,0,3,1,26,20,25,3,1.5,0,0,0
326,Ref#14517,18,1,2,0,19,15,38,2,4.0,0,0,1
327,Ref#11910,18,0,3,0,32,25,15,2,2.0,0,1,0
328,Ref#14530,22,0,1,0,24,19,29,3,4.0,0,0,0
329,Ref#21551,16,0,1,1,20,16,36,3,2.5,0,0,1
330,Ref#21650,20,1,2,0,27,21,24,3,1.0,0,0,0
331,Ref#23678,22,0,3,0,20,16,36,3,2.0,0,0,1
332,Ref#25457,23,1,2,0,14,11,47,1,1.5,0,1,0
333,Ref#27605,21,0,3,1,21,16,35,3,1.0,0,0,1
334,Ref#30404,16,0,2,1,12,9,51,1,1.0,0,1,0
335,Ref#30950,17,1,1,1,13,10,49,3,4.0,0,0,0
336,Ref#35256,19,1,2,0,10,8,54,2,4.0,0,1,0
337,Ref#36712,16,1,1,1,16,12,44,1,2.0,0,0,1
338,Ref#37991,19,1,2,1,24,19,29,2,4.0,0,1,0
339,Ref#40306,21,0,3,0,32,25,15,1,2.0,0,1,0
340,Ref#47751,15,0,3,1,27,21,24,1,1.0,0,0,0
341,Ref#19974,20,0,3,0,12,9,52,2,4.0,0,1,0
342,Ref#27376,18,0,2,0,21,16,36,3,3.5,0,0,0
343,Ref#83376,20,0,1,1,12,9,52,2,4.5,0,1,0
344,Ref#13007,21,0,1,0,24,19,30,2,4.0,0,0,0
345,Ref#18341,22,0,3,1,22,17,34,3,2.0,0,0,0
346,Ref#19492,16,0,1,1,21,16,36,3,4.5,0,1,0
347,Ref#20479,20,0,1,0,33,26,14,3,2.0,0,0,0
348,Ref#24377,23,0,1,1,32,25,16,1,2.0,0,0,0
349,Ref#26127,22,1,2,1,18,14,41,3,4.0,0,1,0
350,Ref#26886,23,1,1,0,33,26,14,1,2.0,0,0,0
351,Ref#36728,20,0,2,0,28,22,23,2,3.0,0,0,0
352,Ref#42320,16,0,2,1,12,9,52,1,3.5,0,0,0
353,Ref#45395,15,1,3,0,32,25,16,3,1.5,0,0,1
354,Ref#47114,16,0,2,1,29,23,21,2,2.0,0,0,1
355,Ref#39421,17,0,2,0,20,16,38,2,1.0,0,0,0
356,Ref#42998,23,0,3,0,17,13,44,1,1.5,0,0,0
357,Ref#49028,16,0,2,0,13,10,51,3,1.0,0,0,1
358,Ref#10738,21,1,3,1,26,20,28,1,4.5,0,0,0
359,Ref#11641,19,1,1,0,35,28,11,3,1.5,0,0,0
360,Ref#14806,18,0,3,0,31,24,19,3,3.5,0,1,0
361,Ref#15344,15,1,2,1,35,28,11,3,4.5,0,0,0
362,Ref#19167,18,1,1,0,16,12,46,1,2.5,0,0,1
363,Ref#21925,22,1,1,1,34,27,13,1,1.5,0,0,0
364,Ref#24340,17,0,1,1,28,22,24,3,4.0,0,1,0
365,Ref#28667,22,0,2,0,31,24,19,3,3.5,0,1,0
366,Ref#29815,16,0,2,1,11,8,55,2,2.5,0,0,0
367,Ref#31780,17,1,2,1,12,9,53,1,4.0,0,1,0
368,Ref#38466,23,1,3,1,13,10,51,3,3.0,0,0,1
369,Ref#40064,19,1,1,0,26,20,28,2,3.5,0,1,0
370,Ref#47232,17,1,2,1,12,9,53,3,2.0,0,0,1
371,Ref#47871,21,1,3,1,27,21,26,3,3.5,0,1,0
372,Ref#49130,18,1,3,1,12,9,53,2,3.0,0,0,1
373,Ref#16168,15,1,2,1,31,24,20,3,4.0,0,0,0
374,Ref#56839,19,0,2,1,29,23,23,3,2.0,0,1,0
375,Ref#10282,16,1,3,0,20,16,39,3,1.0,0,1,0
376,Ref#11571,18,1,3,1,35,28,12,2,3.0,0,1,0
377,Ref#15045,19,0,1,0,26,20,29,1,2.5,0,0,0
378,Ref#17560,17,0,2,0,22,17,36,3,4.5,0,0,0
379,Ref#17987,18,1,1,0,23,18,34,2,2.5,0,0,0
380,Ref#24615,22,1,2,1,11,8,56,2,4.5,0,0,0
381,Ref#27582,15,1,3,1,17,13,45,1,1.0,0,0,1
382,Ref#30227,20,0,3,1,31,24,20,3,2.5,0,0,0
383,Ref#32331,19,1,3,1,33,26,16,1,1.5,0,0,0
384,Ref#32851,22,0,3,1,16,12,47,2,1.5,0,1,0
385,Ref#34919,22,0,1,1,14,11,50,2,1.5,0,0,1
386,Ref#35658,20,1,2,1,30,24,21,1,5.0,0,0,0
387,Ref#37604,19,1,1,0,14,11,50,2,4.0,0,0,0
388,Ref#43426,22,0,2,1,15,12,48,1,4.0,0,0,0
389,Ref#14465,15,1,1,1,23,18,35,3,4.0,0,1,0
390,Ref#22830,18,1,2,1,28,22,26,3,4.5,0,0,0
391,Ref#11116,22,1,3,1,25,20,31,3,4.5,0,0,1
392,Ref#11563,21,1,2,1,21,16,39,1,4.0,0,1,0
393,Ref#12084,20,1,2,1,37,29,10,2,4.0,0,0,1
394,Ref#13827,21,0,2,1,19,15,42,1,4.0,0,0,0
