SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,frog class
1000,1,12,4,2,2,1,0,0,100,5,9,0,1,Brown frog
300,1,15,1,2,7,2,0,0,100,1,1,0,1,Brown frog
300,1,5,0,6,10,2,3,4,25,0,0,0,1,Common toad
500,1,5,0,6,6,10,1,2,25,0,0,0,2,Common toad
700,1,1,4,2,2,1,0,0,100,5,5,0,1,Fire-bellied toad
2100,1,1,3,2,9,2,0,0,50,0,1,0,1,Tree frog
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,Fire-bellied toad
400,1,5,1,6,2,10,1,0,75,2,0,0,1,Common toad
200,1,12,4,2,2,7,0,0,100,5,5,0,1,Common toad
100,1,11,4,2,6,7,0,0,100,5,5,0,1,Common toad
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
1000,1,1,2,2,7,9,0,0,75,0,0,0,1,Common toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
500,2,1,0,2,9,1,3,3,100,1,2,0,1,Common toad
1000,1,1,3,2,1,9,0,0,100,2,5,0,1,Tree frog
300,1,15,1,1,7,6,0,0,100,1,1,0,1,Tree frog
500,2,1,0,2,9,1,3,3,100,1,2,0,1,Common toad
200,1,12,4,2,2,7,0,0,100,5,5,0,1,Common toad
100,1,11,4,2,6,7,0,0,100,5,5,0,1,Common toad
500,2,1,0,2,9,1,3,3,100,1,2,0,1,Common toad
400,1,5,1,6,2,10,1,0,75,2,0,0,1,Common toad
100,1,11,4,2,6,7,0,0,100,5,5,0,1,Common toad
100,1,11,4,2,6,7,0,0,100,5,5,0,1,Common toad
500,2,1,0,2,9,1,3,3,100,1,2,0,1,Common toad
500,1,5,0,6,6,10,1,2,25,0,0,0,2,Common toad
400,1,5,1,6,2,10,1,0,75,2,0,0,1,Common toad
500,2,1,0,2,9,1,3,3,100,1,2,0,1,Common toad
400,1,5,1,6,2,10,1,0,75,2,0,0,1,Common toad
400,1,5,1,6,2,10,1,0,75,2,0,0,1,Common toad
100,1,11,4,2,6,7,0,0,100,5,5,0,1,Common toad
200,1,12,4,2,2,7,0,0,100,5,5,0,1,Common toad
400,1,5,1,6,2,10,1,0,75,2,0,0,1,Common toad
1000,1,1,2,2,7,9,0,0,75,0,0,0,1,Common toad
100,1,11,4,2,6,7,0,0,100,5,5,0,1,Common toad
500,1,5,0,6,6,10,1,2,25,0,0,0,2,Common toad
200,1,12,4,2,2,7,0,0,100,5,5,0,1,Common toad
1000,1,1,2,2,7,9,0,0,75,0,0,0,1,Common toad
1000,1,1,2,2,7,9,0,0,75,0,0,0,1,Common toad
500,1,5,0,6,6,10,1,2,25,0,0,0,2,Common toad
200,1,12,4,2,2,7,0,0,100,5,5,0,1,Common toad
100,1,11,4,2,6,7,0,0,100,5,5,0,1,Common toad
300,1,5,0,6,10,2,3,4,25,0,0,0,1,Common toad
200,1,12,4,2,2,7,0,0,100,5,5,0,1,Common toad
500,1,5,0,6,6,10,1,2,25,0,0,0,2,Common toad
1000,1,1,2,2,7,9,0,0,75,0,0,0,1,Common toad
700,1,1,4,2,2,1,0,0,100,5,5,0,1,Fire-bellied toad
700,1,1,4,2,2,1,0,0,100,5,5,0,1,Fire-bellied toad
700,1,1,4,2,2,1,0,0,100,5,5,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,Fire-bellied toad
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
700,1,1,4,2,2,1,0,0,100,5,5,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
700,1,1,4,2,2,1,0,0,100,5,5,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
700,1,1,4,2,2,1,0,0,100,5,5,0,1,Fire-bellied toad
700,1,1,4,2,2,1,0,0,100,5,5,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,Fire-bellied toad
700,1,1,4,2,2,1,0,0,100,5,5,0,1,Fire-bellied toad
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,Fire-bellied toad
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,Fire-bellied toad
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,Fire-bellied toad
700,1,1,4,2,2,1,0,0,100,5,5,0,1,Fire-bellied toad
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,Fire-bellied toad
700,1,1,4,2,2,1,0,0,100,5,5,0,1,Fire-bellied toad
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
300,1,15,1,1,7,6,0,0,100,1,1,0,1,Tree frog
2100,1,1,3,2,9,2,0,0,50,0,1,0,1,Tree frog
300,1,15,1,1,7,6,0,0,100,1,1,0,1,Tree frog
1000,1,1,3,2,1,9,0,0,100,2,5,0,1,Tree frog
1000,1,1,3,2,1,9,0,0,100,2,5,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
2100,1,1,3,2,9,2,0,0,50,0,1,0,1,Tree frog
300,1,15,1,1,7,6,0,0,100,1,1,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
300,1,15,1,1,7,6,0,0,100,1,1,0,1,Tree frog
300,1,15,1,1,7,6,0,0,100,1,1,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
300,1,15,1,1,7,6,0,0,100,1,1,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
2100,1,1,3,2,9,2,0,0,50,0,1,0,1,Tree frog
1000,1,1,3,2,1,9,0,0,100,2,5,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
300,1,15,1,1,7,6,0,0,100,1,1,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
300,1,15,1,1,7,6,0,0,100,1,1,0,1,Tree frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
1000,1,1,3,2,1,9,0,0,100,2,5,0,1,Tree frog
300,1,15,1,1,7,6,0,0,100,1,1,0,1,Tree frog
1000,1,1,3,2,1,9,0,0,100,2,5,0,1,Tree frog
300,1,15,1,1,7,6,0,0,100,1,1,0,1,Tree frog
