/sentence/#id,/sentence/@id,Category,/sentence/aspectTerms/aspectTerm/@from,Polarity,Term,/sentence/aspectTerms/aspectTerm/@to,Text
61,2210,HOTEL#MISCELLANEOUS,0,negative,NULL,0,"لذا إذا كنت تبحث عن مكان رخيص بالقرب من مركز البلدة و نظيف أيضاً، هذا هو مكانك. إذا كنت تحب بعض الرفاهية أثناء إقامتك فبكل تأكيد ستخيب آمالك جداً هناك."
62,197,HOTEL#GENERAL,0,positive,فندق,4,فندق رائع ولكن الخدمة ضعيفة فندق جميل وخلاب ويقع في وسط المدينة وبناءه جميل وقديم لكن الخدمة ليست بالمستوى المطلوب
62,197,SERVICE#GENERAL,15,negative,الخدمة,21,فندق رائع ولكن الخدمة ضعيفة فندق جميل وخلاب ويقع في وسط المدينة وبناءه جميل وقديم لكن الخدمة ليست بالمستوى المطلوب
62,197,HOTEL#GENERAL,28,positive,فندق,32,فندق رائع ولكن الخدمة ضعيفة فندق جميل وخلاب ويقع في وسط المدينة وبناءه جميل وقديم لكن الخدمة ليست بالمستوى المطلوب
62,197,SERVICE#GENERAL,86,negative,الخدمة,92,فندق رائع ولكن الخدمة ضعيفة فندق جميل وخلاب ويقع في وسط المدينة وبناءه جميل وقديم لكن الخدمة ليست بالمستوى المطلوب
63,197,SERVICE#GENERAL,26,negative,موظفين,32,حيث لاحظت ان هنالك نقص بالموظفين فقد قضينا ننتظر دورنا في الاستقبال نصف ساعة وكان هنالك موظف استقبال واحد فقط
64,197,FACILITIES#CLEANLINESS,4,negative,المطعم,10,وفي المطعم لا يتم الاعتناء بنظافة الأطباق وجدت بعض البقع على طبقي
65,828,HOTEL#GENERAL,66,positive,إقامة,71,"وددت أن أنقل صورة عن إقامتي في فندق انتر كونتيننتال الأردن , كانت إقامة رائعة ولله الحمد يتميز الفندق بكثر الحركة وكثر السائحين وهذا يعطي انطباعا جيدا عن الفندق,"
65,828,HOTEL#GENERAL,95,positive,الفندق,101,"وددت أن أنقل صورة عن إقامتي في فندق انتر كونتيننتال الأردن , كانت إقامة رائعة ولله الحمد يتميز الفندق بكثر الحركة وكثر السائحين وهذا يعطي انطباعا جيدا عن الفندق,"
65,828,HOTEL#GENERAL,154,positive,الفندق,160,"وددت أن أنقل صورة عن إقامتي في فندق انتر كونتيننتال الأردن , كانت إقامة رائعة ولله الحمد يتميز الفندق بكثر الحركة وكثر السائحين وهذا يعطي انطباعا جيدا عن الفندق,"
66,828,HOTEL#GENERAL,1,positive,كثرة الزائرين,14,وكثرة الزائرين تعني لي بأن جميع المأكولات تكون نظيفة وجيدة وهذا ما وجدته في مطعم برج الحمام وخدمة الروم سيرفس
66,828,FOOD_DRINKS#QUALITY,32,positive,المأكولات,41,وكثرة الزائرين تعني لي بأن جميع المأكولات تكون نظيفة وجيدة وهذا ما وجدته في مطعم برج الحمام وخدمة الروم سيرفس
66,828,SERVICE#GENERAL,93,positive,خدمة الروم سيرفس,109,وكثرة الزائرين تعني لي بأن جميع المأكولات تكون نظيفة وجيدة وهذا ما وجدته في مطعم برج الحمام وخدمة الروم سيرفس
67,276,HOTEL#COMFORT,35,positive,الفندق,41,"زيارة القاهرة لم أفكر كثيرا في هذا الفندق. وفضلا عن كونه مريحة إلى حد ما بالنسبة لقربه من المطار وأنه غير مكلف، إلا أنه كان رتيب جدا وصاخبة جدا بالليل،"
67,276,LOCATION#GENERAL,90,positive,المطار,96,"زيارة القاهرة لم أفكر كثيرا في هذا الفندق. وفضلا عن كونه مريحة إلى حد ما بالنسبة لقربه من المطار وأنه غير مكلف، إلا أنه كان رتيب جدا وصاخبة جدا بالليل،"
68,276,HOTEL#COMFORT,0,negative,الموسيقى,8,الموسيقى صاخبة جدا من الحادية عشرة مساءًا حتى بعد الساعة الثالثة صباحًا.
69,276,FOOD_DRINKS#QUALITY,4,neutral,الإفطار,11,كان الإفطار معقولا ولم أجرب أية وجبات أخرى. وكان الموظفون جدًا جيدين.
69,276,SERVICE#GENERAL,49,neutral,الموظفون,57,كان الإفطار معقولا ولم أجرب أية وجبات أخرى. وكان الموظفون جدًا جيدين.
70,887,LOCATION#GENERAL,43,positive,الحرم,48,الفندق يقع في آخر ابراج البيت يعني قريب من الحرم والخدمات
71,887,ROOMS_AMENITIES#CLEANLINESS,64,negative,الاثاث,70,وعلى الرغم من حداثته حيث انه لم يفتتح الا في رمضان 2012 فقد كان الاثاث غير نظيف نوعا ما ( المفارش - السجاد ) ودورة المياه صغيره جدا
71,887,FACILITIES#DESIGN_FEATURES,110,negative,دورة المياه,121,وعلى الرغم من حداثته حيث انه لم يفتتح الا في رمضان 2012 فقد كان الاثاث غير نظيف نوعا ما ( المفارش - السجاد ) ودورة المياه صغيره جدا
72,887,FACILITIES#GENERAL,10,negative,المصاعد,17,يعيبه قلة المصاعد
73,1202,LOCATION#GENERAL,0,positive,مكان,4,مكان رائع وجميل وخدمة ممتازة ومعاملة رائعة
73,1202,SERVICE#GENERAL,17,positive,خدمة,21,مكان رائع وجميل وخدمة ممتازة ومعاملة رائعة
73,1202,SERVICE#GENERAL,30,positive,معاملة,36,مكان رائع وجميل وخدمة ممتازة ومعاملة رائعة
74,1202,HOTEL#GENERAL,116,positive,خدمتنا,122,ذهبت انا ومجموعة من أصدقائي الي فندق كورال بيتش كل منا معه أسرته واشهد بأننا قد قضينا وقت ممتع وسعيد والكل تفاني في خدمتنا ولا توجد تفرقة بين مصري وأجنبي وهذا ما أشعرني بالسعادة البالغة
74,1202,SERVICE#GENERAL,0,positive,NULL,0,ذهبت انا ومجموعة من أصدقائي الي فندق كورال بيتش كل منا معه أسرته واشهد بأننا قد قضينا وقت ممتع وسعيد والكل تفاني في خدمتنا ولا توجد تفرقة بين مصري وأجنبي وهذا ما أشعرني بالسعادة البالغة
75,1202,SERVICE#GENERAL,18,positive,العاملين بالفندق,34,ومن هنا بشكر جميع العاملين بالفندق علي حسن المعاملة المحترفة المحترمة مقدمة لكم عماد صدقي راشد صدقي عاطف مكرم جمال عويضة
75,1202,SERVICE#GENERAL,43,positive,المعاملة,51,ومن هنا بشكر جميع العاملين بالفندق علي حسن المعاملة المحترفة المحترمة مقدمة لكم عماد صدقي راشد صدقي عاطف مكرم جمال عويضة
76,872,FACILITIES#GENERAL,60,negative,مطعم,64,سكنت ثلاث ليالي في شهر ديسمبر قبل ثلاثة أعوام و كان الفندق بمطعم واحد فقط للإفطار السعر مرتفع جداً للغرفة المزدوجة و بوفيه الإفطار أيضاً
